year,outcome,estimate,se,conf_low,conf_high,p,n,clusters,geography,caste_controls
2012,graduate_plus,-0.005830499062955513,0.0690956408031295,-0.14386490967945087,0.13220391155353983,0.933015307701594,226,65,assembly_id,TRUE
2012,illiterate,0.02498785312695218,0.018828239670173674,-0.012625879600754546,0.0626015858546589,0.18917513708573597,226,65,assembly_id,TRUE
2012,age,-5.993284245960316,1.5106800311440873,-9.011214542362435,-2.975353949558197,1.86268023445716e-4,235,65,assembly_id,TRUE
2012,any_criminal,-0.2349037162229495,0.05847977844261134,-0.3517305037956827,-0.1180769286502163,1.5759592512615422e-4,237,65,assembly_id,TRUE
2017,graduate_plus,0.01060097921674096,0.057662138669905084,-0.10449313127935468,0.1256950897128366,0.8546891989357135,262,68,assembly_id,TRUE
2017,illiterate,0.005656231181629778,0.011259180958335894,-0.01681718807069121,0.028129650433950767,0.6170571700261958,262,68,assembly_id,TRUE
2017,age,-3.570199068903687,1.0211364727256025,-5.608395999063914,-1.5320021387434601,8.420893068260114e-4,262,68,assembly_id,TRUE
2017,any_criminal,-0.1062848638052315,0.03897338102247232,-0.1840760579106972,-0.0284936696997658,0.008148151834207912,267,68,assembly_id,TRUE
2022,graduate_plus,-0.03382811195501582,0.06273224515600852,-0.15904219735317174,0.09138597344314012,0.5915046424535026,244,68,assembly_id,TRUE
2022,illiterate,0.023748922554819963,0.016787105805398335,-0.009758280872661663,0.05725612598230159,0.16178371326964835,244,68,assembly_id,TRUE
2022,age,-2.2554987397776936,1.295025533806607,-4.84038052393175,0.329383044376363,0.08615681635250816,248,68,assembly_id,TRUE
2022,any_criminal,-0.20963291183059451,0.0448773579101395,-0.29920849312581616,-0.12005733053537286,1.4888048476044316e-5,248,68,assembly_id,TRUE
