year,quota,n,education_n,graduate_share,illiterate_share,age_n,mean_age,cases_n,any_case_share
2012,0,134,115,0.40869565217391307,0,116,46.37931034482759,117,0.29914529914529914
2012,1,138,111,0.42342342342342343,0.018018018018018018,119,40.36974789915966,120,0.1
2017,0,134,130,0.3769230769230769,0.007692307692307693,132,44.57575757575758,133,0.12781954887218044
2017,1,138,132,0.3939393939393939,0.015151515151515152,130,40.776923076923076,134,0.029850746268656716
2022,0,125,122,0.48360655737704916,0,125,46.048,125,0.272
2022,1,125,122,0.4672131147540984,0.01639344262295082,123,43.75609756097561,123,0.04878048780487805
