year,education_raw,graduate_plus,illiterate,n
2012,10th Pass,0,0,50
2012,12th Pass,0,0,43
2012,5th Pass,0,0,8
2012,8th Pass,0,0,23
2012,Doctorate,1,0,3
2012,Graduate,1,0,51
2012,Graduate Professional,1,0,17
2012,Illiterate,0,1,2
2012,Literate,0,0,6
2012,Not Given,NA,NA,5
2012,Others,NA,NA,4
2012,Post Graduate,1,0,23
2012,Unknown,NA,NA,2
2012,NA,NA,NA,35
2017,10th Pass,0,0,48
2017,12th Pass,0,0,65
2017,5th Pass,0,0,15
2017,8th Pass,0,0,29
2017,Graduate,1,0,49
2017,Graduate Professional,1,0,17
2017,Illiterate,0,1,3
2017,Literate,0,0,1
2017,Others,NA,NA,5
2017,Post Graduate,1,0,35
2017,NA,NA,NA,5
2022,10th Pass,0,0,31
2022,12th Pass,0,0,58
2022,5th Pass,0,0,12
2022,8th Pass,0,0,25
2022,Doctorate,1,0,1
2022,Graduate,1,0,67
2022,Graduate Professional,1,0,20
2022,Illiterate,0,1,2
2022,Others,NA,NA,4
2022,Post Graduate,1,0,28
2022,NA,NA,NA,2
