ward_number,corporation,caste_reservation,quota
1,North,NONE,1
2,North,NONE,0
3,North,SC,1
4,North,NONE,1
5,North,SC,0
6,North,NONE,0
7,North,NONE,1
8,North,NONE,0
9,North,SC,1
10,North,NONE,1
11,North,NONE,0
12,North,NONE,1
13,North,NONE,0
14,North,NONE,1
15,North,NONE,0
16,North,SC,0
17,North,SC,1
18,North,NONE,1
19,North,NONE,0
20,North,NONE,1
21,North,NONE,0
22,North,NONE,1
23,North,NONE,0
24,North,NONE,1
25,North,NONE,0
26,North,SC,0
27,North,NONE,1
28,North,NONE,0
29,North,NONE,1
30,North,NONE,0
31,North,SC,1
32,North,NONE,1
33,North,NONE,0
34,North,NONE,1
35,North,SC,0
36,North,NONE,0
37,North,SC,1
38,North,NONE,1
39,North,NONE,0
40,North,NONE,1
41,North,NONE,0
42,North,SC,0
43,North,NONE,1
44,North,NONE,0
45,North,NONE,1
46,North,SC,1
47,North,NONE,0
48,North,NONE,1
49,North,NONE,0
50,North,NONE,1
51,North,NONE,0
52,North,NONE,1
53,North,NONE,0
54,North,NONE,1
55,North,NONE,0
56,North,NONE,1
57,North,NONE,0
58,North,NONE,1
59,North,NONE,0
60,North,NONE,1
61,North,NONE,0
62,North,NONE,1
63,North,NONE,0
64,North,SC,0
65,North,SC,1
66,North,NONE,1
67,North,NONE,0
68,North,NONE,1
69,North,NONE,0
70,North,NONE,1
71,North,SC,0
72,North,NONE,0
73,North,NONE,1
74,North,SC,1
75,North,NONE,0
76,North,NONE,1
77,North,NONE,0
78,North,NONE,1
79,North,NONE,0
80,North,NONE,1
81,North,NONE,0
82,North,SC,0
83,North,NONE,1
84,North,NONE,0
85,North,NONE,1
86,North,NONE,0
87,North,SC,1
88,North,NONE,1
89,North,NONE,0
90,North,NONE,1
91,North,NONE,0
92,North,SC,0
93,North,NONE,1
94,North,NONE,0
95,North,SC,1
96,North,NONE,1
97,North,NONE,0
98,North,NONE,1
99,North,NONE,0
100,North,NONE,1
101,South,NONE,1
102,South,NONE,0
103,South,NONE,1
104,South,SC,1
105,South,NONE,0
106,South,NONE,1
107,South,NONE,0
108,South,NONE,1
109,South,NONE,0
110,South,NONE,1
111,South,NONE,0
112,South,NONE,1
113,South,NONE,0
114,South,NONE,1
115,South,NONE,0
116,South,NONE,1
117,South,NONE,0
118,South,NONE,1
119,South,NONE,0
120,South,NONE,1
121,South,NONE,0
122,South,NONE,1
123,South,SC,0
124,South,NONE,0
125,South,NONE,1
126,South,NONE,0
127,South,NONE,1
128,South,NONE,0
129,South,NONE,1
130,South,SC,1
131,South,NONE,0
132,South,NONE,1
133,South,SC,0
134,South,NONE,0
135,South,NONE,1
136,South,NONE,0
137,South,NONE,1
138,South,NONE,0
139,South,NONE,1
140,South,SC,1
141,South,NONE,0
142,South,NONE,1
143,South,SC,0
144,South,NONE,0
145,South,NONE,1
146,South,NONE,0
147,South,NONE,1
148,South,NONE,0
149,North,NONE,0
150,North,NONE,1
151,North,SC,0
152,North,NONE,0
153,South,NONE,1
154,South,NONE,0
155,South,NONE,1
156,South,SC,1
157,South,NONE,0
158,South,NONE,1
159,South,NONE,0
160,South,NONE,1
161,South,NONE,0
162,South,NONE,1
163,South,NONE,0
164,South,NONE,1
165,South,NONE,0
166,South,NONE,1
167,South,SC,0
168,South,NONE,0
169,South,NONE,1
170,South,NONE,0
171,South,SC,1
172,South,NONE,1
173,South,NONE,0
174,South,NONE,1
175,South,SC,0
176,South,NONE,0
177,South,NONE,1
178,South,NONE,0
179,South,SC,1
180,South,NONE,1
181,South,NONE,0
182,South,SC,0
183,South,NONE,1
184,South,NONE,0
185,South,NONE,1
186,South,NONE,0
187,South,NONE,1
188,South,NONE,0
189,South,NONE,1
190,South,NONE,0
191,South,NONE,1
192,South,NONE,0
193,South,NONE,1
194,South,SC,1
195,South,NONE,0
196,South,NONE,1
197,South,NONE,0
198,South,NONE,1
199,South,NONE,0
200,South,SC,0
201,South,NONE,1
202,South,NONE,0
203,South,SC,1
204,South,NONE,1
205,South,NONE,0
206,South,NONE,1
207,South,NONE,0
208,South,NONE,1
209,East,NONE,1
210,East,SC,1
211,East,NONE,0
212,East,NONE,1
213,East,SC,0
214,East,NONE,0
215,East,NONE,1
216,East,NONE,0
217,East,NONE,1
218,East,SC,1
219,East,NONE,0
220,East,NONE,1
221,East,NONE,0
222,East,NONE,1
223,East,NONE,0
224,East,NONE,1
225,East,NONE,0
226,East,SC,0
227,East,NONE,1
228,East,NONE,0
229,East,NONE,1
230,East,NONE,0
231,East,NONE,1
232,East,NONE,0
233,East,SC,1
234,East,NONE,1
235,East,NONE,0
236,East,NONE,1
237,East,SC,0
238,East,NONE,0
239,East,NONE,1
240,East,NONE,0
241,East,NONE,1
242,East,NONE,0
243,East,SC,1
244,East,NONE,1
245,East,SC,0
246,East,NONE,0
247,East,NONE,1
248,East,NONE,0
249,East,NONE,1
250,East,NONE,0
251,East,NONE,1
252,East,NONE,0
253,East,NONE,1
254,East,NONE,0
255,East,SC,1
256,East,NONE,1
257,East,NONE,0
258,East,NONE,1
259,East,NONE,0
260,East,NONE,1
261,East,NONE,0
262,East,SC,0
263,East,NONE,1
264,East,NONE,0
265,East,SC,1
266,East,NONE,1
267,East,NONE,0
268,East,NONE,1
269,East,NONE,0
270,East,NONE,1
271,East,NONE,0
272,East,NONE,1
