year,outcome,lower,upper,missing,n
2012,graduate_plus,-0.1637603206687452,0.1894463667820071,46,272
2012,any_criminal,-0.33859501867141784,-0.061058960567337284,35,272
2017,graduate_plus,-0.025057742739748094,0.06325229789736243,10,272
2017,any_criminal,-0.11534620190403964,-0.0752890337719962,5,272
2022,graduate_plus,-0.049858243518155786,-0.0012482918112037729,6,250
2022,any_criminal,-0.21347181256608638,-0.19914930652172608,2,250
