Reservation,Year,sixth_or_lower,seventh_to_tenth,eleventh_hs,prop_Bachelors_or_above,prop_Masters_or_above,prop_Other,n
General,2010,0.04,0.09,0.58,0.15,0.03,0.1,9044
Woman,2010,0.01,0.08,0.65,0.14,0.03,0.09,10074
SC,2010,0.05,0.14,0.64,0.07,0.02,0.1,1242
SC Woman,2010,0.02,0.09,0.69,0.09,0.02,0.09,959
ST,2010,0.1,0.18,0.55,0.02,0.01,0.14,169
ST Woman,2010,0.07,0.16,0.66,0,0.01,0.11,119
General,2015,0.03,0.08,0.58,0.14,0.03,0.14,9208
Woman,2015,0.01,0.06,0.65,0.14,0.03,0.12,10097
SC,2015,0.04,0.1,0.61,0.07,0.02,0.15,1259
SC Woman,2015,0.02,0.06,0.68,0.1,0.02,0.12,943
ST,2015,0.09,0.11,0.55,0.05,0.01,0.2,174
ST Woman,2015,0.07,0.07,0.66,0.02,0.01,0.17,122
General,2020,0.02,0.06,0.56,0.14,0.05,0.19,9200
Woman,2020,0,0.04,0.6,0.14,0.04,0.17,10181
SC,2020,0.02,0.08,0.62,0.09,0.03,0.17,1252
SC Woman,2020,0.01,0.05,0.61,0.13,0.03,0.18,960
ST,2020,0.04,0.14,0.6,0.03,0.01,0.17,172
ST Woman,2020,0.05,0.1,0.63,0.04,0,0.18,121
