year,tier,education_raw,graduate_plus,education_rule,records
2010,block_member,+2,0,recognized qualification,2
2010,block_member,10,0,recognized qualification,1
2010,block_member,10-TH FAIL,NA,unclassified,1
2010,block_member,10TH,0,recognized qualification,1
2010,block_member,4 TH STANDARD,0,recognized qualification,1
2010,block_member,4 TH STD,0,recognized qualification,1
2010,block_member,4TH,0,recognized qualification,2
2010,block_member,4TH STANDARD,0,recognized qualification,1
2010,block_member,4TH STD,0,recognized qualification,1
2010,block_member,5 TH,0,recognized qualification,1
2010,block_member,5 TH STD,0,recognized qualification,2
2010,block_member,5 TH STD.,0,recognized qualification,2
2010,block_member,5TH STANDARD,0,recognized qualification,4
2010,block_member,5TH STD,0,recognized qualification,2
2010,block_member,5TH STD PASSED,NA,unclassified,1
2010,block_member,6,0,recognized qualification,1
2010,block_member,6 TH STANDARD,0,recognized qualification,1
2010,block_member,6 TH STD,0,recognized qualification,2
2010,block_member,6TH,0,recognized qualification,2
2010,block_member,6TH CLASS,0,recognized qualification,1
2010,block_member,6TH STANDARD,0,recognized qualification,3
2010,block_member,6TH STD,0,recognized qualification,1
2010,block_member,7,0,recognized qualification,2
2010,block_member,7 TH STANDARD,0,recognized qualification,2
2010,block_member,7 TH STD,0,recognized qualification,2
2010,block_member,7-TH PASS,0,recognized qualification,2
2010,block_member,7TH,0,recognized qualification,3
2010,block_member,7TH PASS,0,recognized qualification,2
2010,block_member,7TH STANDARD,0,recognized qualification,3
2010,block_member,7TH STD,0,recognized qualification,8
2010,block_member,8,0,recognized qualification,5
2010,block_member,8 STANDARD,0,recognized qualification,2
2010,block_member,8 TH STANDARD,0,recognized qualification,1
2010,block_member,8 TH STD,0,recognized qualification,2
2010,block_member,8TH,0,recognized qualification,3
2010,block_member,8TH STANDARD,0,recognized qualification,3
2010,block_member,8TH STD,0,recognized qualification,1
2010,block_member,8TH STD.,0,recognized qualification,1
2010,block_member,9,0,recognized qualification,4
2010,block_member,9 TH,0,recognized qualification,6
2010,block_member,9 TH PASS,0,recognized qualification,1
2010,block_member,9 TH STANDARD,0,recognized qualification,3
2010,block_member,9 TH STANDERED,NA,unclassified,1
2010,block_member,9 TH STD .,0,recognized qualification,1
2010,block_member,9TH,0,recognized qualification,9
2010,block_member,9TH CLASS,0,recognized qualification,1
2010,block_member,9TH STANDARD,0,recognized qualification,8
2010,block_member,9TH STD,0,recognized qualification,5
2010,block_member,9TH STD PASSED,NA,unclassified,1
2010,block_member,AFSAL UL ULAMA,NA,unclassified,1
2010,block_member,"AFZAL ULAMA, B.A.",1,recognized qualification,1
2010,block_member,B .COM,1,recognized qualification,1
2010,block_member,B A,1,recognized qualification,15
2010,block_member,"B A COMMUNICATIVE ENGLISH, B.ED (DOING)",1,recognized qualification,1
2010,block_member,B A COURSE COMPLETED,NA,unclassified,1
2010,block_member,B A ECONOMICS,1,recognized qualification,5
2010,block_member,B A LLB,1,recognized qualification,1
2010,block_member,B A POLITICS,1,recognized qualification,1
2010,block_member,"B A,",1,recognized qualification,1
2010,block_member,"B A, AFSALUL ULUMA",1,recognized qualification,1
2010,block_member,"B A, B ED",1,recognized qualification,1
2010,block_member,"B A, I T I",1,recognized qualification,1
2010,block_member,"B A, T T C",1,recognized qualification,1
2010,block_member,"B A,DP &CS",1,recognized qualification,1
2010,block_member,"B A,LLB",1,recognized qualification,1
2010,block_member,B A.B ED,NA,unclassified,1
2010,block_member,B COM,1,recognized qualification,13
2010,block_member,B COM (COURSE COMPLETED),NA,unclassified,1
2010,block_member,B COM DEGREE,1,recognized qualification,1
2010,block_member,"B COM, L L B",1,recognized qualification,1
2010,block_member,"B COM,SURVEYAR",1,recognized qualification,1
2010,block_member,B SC,1,recognized qualification,3
2010,block_member,B SC B ED,1,recognized qualification,1
2010,block_member,B SC MATHS,1,recognized qualification,1
2010,block_member,"B SC, B ED",1,recognized qualification,1
2010,block_member,"B SC, LLB DOING",1,recognized qualification,1
2010,block_member,"B SC, T T C",1,recognized qualification,1
2010,block_member,B TECH,1,recognized qualification,1
2010,block_member,B-COM,1,recognized qualification,1
2010,block_member,B-SC,1,recognized qualification,1
2010,block_member,B.A,1,recognized qualification,46
2010,block_member,B.A (ECONOMICS),1,recognized qualification,1
2010,block_member,"B.A , BED",1,recognized qualification,1
2010,block_member,"B.A , CTTC",1,recognized qualification,1
2010,block_member,"B.A , L.L.B",1,recognized qualification,1
2010,block_member,"B.A ,B.ED",1,recognized qualification,2
2010,block_member,B.A BED,1,recognized qualification,1
2010,block_member,B.A ECNOMICS,1,recognized qualification,1
2010,block_member,B.A ECONOMICS,1,recognized qualification,1
2010,block_member,B.A FAILED,NA,unclassified,2
2010,block_member,B.A H.D.C,1,recognized qualification,1
2010,block_member,B.A HINDI,1,recognized qualification,1
2010,block_member,B.A HISTORY,1,recognized qualification,2
2010,block_member,B.A L.L.B,1,recognized qualification,1
2010,block_member,B.A(HISTORY),1,recognized qualification,1
2010,block_member,"B.A, B.ED",1,recognized qualification,2
2010,block_member,"B.A, BED",1,recognized qualification,1
2010,block_member,"B.A, L.L.B",1,recognized qualification,3
2010,block_member,"B.A, LLB",1,recognized qualification,1
2010,block_member,"B.A, P.G.D.C.A",1,recognized qualification,1
2010,block_member,"B.A,L L B",1,recognized qualification,1
2010,block_member,"B.A,N.T.T.C",1,recognized qualification,1
2010,block_member,B.A.,1,recognized qualification,3
2010,block_member,B.A. (ECONOMICS),1,recognized qualification,1
