state,year,tier,geography,outcome,estimate,se,conf_low,conf_high,p,n,clusters
kerala,2010,block_member,block_id,graduate_plus,-0.04079352907420155,0.019330097825357218,-0.07899005710312848,-0.002597001045274612,0.03649754269580953,1913,150
kerala,2010,block_member,block_id,age,-4.878896746854854,0.46886374379657336,-5.805327117686647,-3.95246637602306,1.9863278553560132e-19,1980,151
kerala,2010,gp_ward,district,graduate_plus,-0.0052410278833413615,0.008601019259623904,-0.02382240030546565,0.013340344538782929,0.5527938306269553,15024,14
kerala,2010,gp_ward,district,age,-4.8442501796577355,0.48722604428941485,-5.896838054352939,-3.7916623049625318,1.9236426112464308e-7,14793,14
kerala,2010,zp_member,district,graduate_plus,-0.04250679502697142,0.045618936934107526,-0.1410605165205701,0.05604692646662728,0.36843282136249345,302,14
kerala,2010,zp_member,district,age,-4.21190295541262,1.4152973548076493,-7.269467000313765,-1.154338910511476,0.0107227602836811,330,14
kerala,2015,block_member,block_id,graduate_plus,-0.012190814782759421,0.019277319092827806,-0.05028729488020946,0.025905665314690615,0.5281134138476323,1815,148
kerala,2015,block_member,block_id,age,-3.919187942872514,0.4896362344517361,-4.886662788725843,-2.951713097019184,3.048224300197052e-13,2029,151
kerala,2015,gp_ward,district,graduate_plus,-0.0014604736613351855,0.006631041621949046,-0.0157859681410941,0.012865020818423728,0.8290990704781138,14121,14
kerala,2015,gp_ward,district,age,-4.231007568413602,0.4570998472629875,-5.21851175131449,-3.2435033855127147,4.3774456346907767e-7,15724,14
kerala,2015,zp_member,district,graduate_plus,-0.0781523958487575,0.0612852536140508,-0.21055113685992588,0.05424634516241089,0.2245489421880631,295,14
kerala,2015,zp_member,district,age,-3.0428318611676644,1.2651351906322448,-5.775990273197645,-0.3096734491376836,0.03177751567335722,327,14
kerala,2020,block_member,block_id,graduate_plus,-0.035401017836107745,0.01984634643594202,-0.07461982944422361,0.003817793772008124,0.07651270285522081,1850,149
kerala,2020,block_member,block_id,age,-3.1258549765869015,0.45473602778100564,-4.024321930897854,-2.2273880222759486,1.5393645224639656e-10,2070,152
kerala,2020,gp_ward,district,graduate_plus,0.019605886691414314,0.012847801517736913,-0.008150101011959596,0.04736187439478823,0.15096271422525093,13457,14
kerala,2020,gp_ward,district,age,-3.454522158852587,0.4668396683308959,-4.46306794590814,-2.445976371797034,5.195820596600882e-6,15860,14
kerala,2020,zp_member,district,graduate_plus,-0.01750683776320422,0.064096244983214,-0.15597835642190022,0.12096468089549178,0.7890414178133406,282,14
kerala,2020,zp_member,district,age,-3.61163367336663,1.1257888162417435,-6.043752545771643,-1.1795148009616176,0.006859893814674795,331,14
