candidate_education,education_known,n
Literate,TRUE,112999
Illiterate,TRUE,29711
Higher,TRUE,21100
Middle,TRUE,15853
Inter,TRUE,14794
Graduate,TRUE,8696
Primary,TRUE,5740
Post Graduate,TRUE,1005
Others,FALSE,787
NA,FALSE,30
illiterate,TRUE,2
