outcome,coef_quota,se,conf_low,conf_high,p,n,clusters
educ_hs_or_less,-0.03814256755541631,0.041999077801426886,-0.12090243254084168,0.044617297430009056,0.36475247580348147,449,227
educ_grad_plus,0.08427424225079957,0.04493396645578611,-0.004268868498507161,0.1728173530001063,0.06201152701377161,449,227
councillor_age,-2.5710840724317725,0.9196348575014698,-4.383239496476031,-0.7589286483875142,0.005623215690343391,449,227
any_criminal,-0.2678844033098794,0.035726771266494296,-0.3382845863891324,-0.1974842202306264,1.461711489268431e-12,449,227
