year,tier,quota,seats,winners,ambiguous,treatment_known,classified_schooling
2010,gp_head,0,34655,34654,0,34655,34504
2010,gp_head,1,17173,17166,0,17173,17066
2010,gp_head,NA,33,32,0,0,27
2015,gp_head,0,39093,39093,0,39093,39093
2015,gp_head,1,19926,19926,0,19926,19926
2021,gp_head,0,32998,32997,1,32998,31448
2021,gp_head,1,16774,16774,0,16774,15780
