year,tier,quota,n,education_n,graduate_plus,illiterate,age_n,age
2010,gp_head,0,34654,34503,0.1883314494391792,0.032547894385995424,34553,41.67169276184416
2010,gp_head,1,17166,17063,0.05520717341616363,0.09728652640215671,17109,40.240516687123716
2015,gp_head,0,39093,39093,0.1707722610185967,0.06412912797687566,0,NA
2015,gp_head,1,19926,19926,0.0784402288467329,0.15954029910669476,0,NA
2021,gp_head,0,32997,31448,0.1974052403968456,0.08646018824726533,32988,42.1240147932581
2021,gp_head,1,16774,15780,0.12097591888466414,0.170532319391635,16769,40.82306637247301
