state,year,tier,geography,outcome,estimate,se,conf_low,conf_high,p,n,clusters
rajasthan,2020,gp_head,block_id,graduate_plus,-0.0693858074040786,0.010557461355807507,-0.09014964766048938,-0.048621967147667804,1.7945412393019127e-10,7748,352
rajasthan,2020,gp_head,block_id,illiterate,8.200052576381238e-4,7.953877041230017e-4,-7.443199786781341e-4,0.0023843304939543818,0.3032739401836055,7748,352
rajasthan,2020,gp_head,block_id,age,-1.6702487080464248,0.30271455552208976,-2.2656112163537365,-1.0748861997391133,6.685594404015277e-8,11113,352
